"id","province_id","city_id","city","checksum","latitude","longitude","city_weibo","total_occurrences","word_occurrences"
"3","11","1","Dōngchéngqū 东城区","11#1","39.928584","116.416373","北京 东城区","730438","58326"
"4","11","2","Xīchéngqū 西城区","11#2","39.912445","116.36561","北京 西城区","495734","45492"
"5","11","3","Chóngwénqū 崇文区","11#3","39.889270","116.4312860","北京 崇文区","138176","20474"
"6","11","4","Xuānwǔqū 宣武区","11#4","39.87356","116.367591","北京 宣武区","200543","24702"
"7","11","5","Cháoyángqū 朝阳区","11#5","39.921034","116.443188","北京 朝阳区","2277471","112591"
"8","11","6","Fēngtáiqū 丰台区","11#6","39.858494","116.286322","北京 丰台区","338373","33062"
"9","11","7","Shíjǐngshānqū 石景山区","11#7","39.905656","116.222874","北京 石景山区","109658","16792"
"10","11","8","Hǎidiànqū 海淀区","11#8","39.95971","116.298012","北京 海淀区","1749466","94971"
"11","11","9","Méntóugōuqū 门头沟区","11#9","39.940342","116.101703","北京 门头沟区","20906","5864"
"12","11","11","Fángshānqū 房山区","11#11","39.749144","116.143267","北京 房山区","44626","9018"
"13","11","12","Tōngzhōuqū 通州区","11#12","39.909965","116.656437","北京 通州区","135174","18459"
"14","11","13","Shùnyìqū 顺义区","11#13","40.130211","116.654812","北京 顺义区","57826","10748"
"15","11","14","Chāngpíngqū 昌平区","11#14","40.22066","116.231204","北京 昌平区","147492","20151"
"16","11","15","Dàxīngqū 大兴区","11#15","39.726929","116.341395","北京 大兴区","98999","15383"
"17","11","16","Huáiróuqū 怀柔区","11#16","40.316211","116.632032","北京 怀柔区","27422","7255"
"18","11","17","Pínggǔqū 平谷区","11#17","40.140669","117.121102","北京 平谷区","21744","6409"
"19","11","28","Mìyúnxiàn 密云县","11#28","40.376322","116.842992","北京 密云县","25605","6084"
"20","11","29","Yánqìngxiàn 延庆县","11#29","40.456657","115.974978","北京 延庆县","14353","4487"
"21","11","1000","Unknown","11#1000","39.9042140","116.4074130","北京","4201096","148127"
"22","12","1","Hépíngqū 和平区","12#1","39.117106","117.214708","天津 和平区","118078","18486"
"23","12","2","Hédōngqū 河东区","12#2","39.123281","117.225607","天津 河东区","75363","12384"
"24","12","3","Héxīqū 河西区","12#3","39.109663","117.223564","天津 河西区","145774","19805"
"25","12","4","Nánkāiqū 南开区","12#4","39.138209","117.150748","天津 南开区","173028","22477"
"26","12","5","Héběiqū 河北区","12#5","39.148027","117.196841","天津 河北区","63371","11544"
"27","12","6","Hóngqiáoqū 红桥区","12#6","39.167346","117.151534","天津 红桥区","42308","8556"
"28","12","7","Tánggūqū 塘沽区","12#7","39.0407970","117.6585060","天津 塘沽区","53772","10505"
"29","12","8","Hàngūqū 汉沽区","12#8","39.2381710","117.7969830","天津 汉沽区","8491","2840"
"30","12","9","Dàgǎngqū 大港区","12#9","38.8411060","117.4714090","天津 大港区","21162","5293"
"31","12","10","Dōnglìqū 东丽区","12#10","39.086694","117.313969","天津 东丽区","22481","5968"
"32","12","11","Xīqīngqū 西青区","12#11","39.141325","117.00911","天津 西青区","30285","6735"
"33","12","12","Jīnnánqū 津南区","12#12","38.937404","117.357849","天津 津南区","15136","4314"
"34","12","13","Běichénqū 北辰区","12#13","39.221484","117.13244","天津 北辰区","23178","6192"
"35","12","14","Wǔqīngqū 武清区","12#14","39.38406","117.044414","天津 武清区","11933","3659"
"36","12","15","Bǎodǐqū 宝坻区","12#15","39.717574","117.309866","天津 宝坻区","10536","3457"
"37","12","21","Nínghéxiàn 宁河县","12#21","39.330613","117.824898","天津 宁河县","7199","2696"
"38","12","23","Jìnghǎixiàn 静海县","12#23","38.94755","116.974363","天津 静海县","16413","4510"
"39","12","25","Jìxiàn 蓟县","12#25","40.046062","117.408315","天津 蓟县","8837","2860"
"40","12","26","Bīnhǎixīnqū 滨海新区","12#26","39.003143","117.710687","天津 滨海新区","25954","6465"
"41","12","27","Bǎoshuìqū 保税区","12#27","38.9968380","117.7586970","天津 保税区","940","515"
"42","12","1000","Unknown","12#1000","39.084158","117.200983","天津","491974","41681"
"43","13","1","Shíjiāzhuāng 石家庄","13#1","38.042307","114.51486","河北 石家庄","371150","33910"
"44","13","2","Tángshān 唐山","13#2","39.630476","118.180407","河北 唐山","165867","20055"
"45","13","3","Qínhuángdǎo 秦皇岛","13#3","39.935377","119.600492","河北 秦皇岛","95688","14453"
"46","13","4","Hándān 邯郸","13#4","36.625604","114.539085","河北 邯郸","104764","15622"
"47","13","5","Xíngtái 邢台","13#5","37.070589","114.504844","河北 邢台","59420","10728"
"48","13","6","Bǎodìng 保定","13#6","38.873891","115.464806","河北 保定","139909","18452"
"49","13","7","Zhāngjiākǒu 张家口","13#7","40.824418","114.887543","河北 张家口","51995","10310"
"50","13","8","Chéngdé 承德","13#8","40.954071","117.962411","河北 承德","44858","8591"
"51","13","9","Cāngzhōu 沧州","13#9","38.304477","116.838835","河北 沧州","63687","11214"
"52","13","10","Lángfáng 廊坊","13#10","39.538047","116.683752","河北 廊坊","91623","14248"
"53","13","11","Héngshuǐ 衡水","13#11","37.735302","115.69868","河北 衡水","34482","7908"
"54","13","1000","Unknown","13#1000","38.037057","114.468665","河北","334359","27524"
"55","14","1","Tàiyuán 太原","14#1","37.870662","112.550619","山西 太原","286210","29719"
"56","14","2","Dàtóng 大同","14#2","40.076816","113.300126","山西 大同","51819","9855"
"57","14","3","Yángquán 阳泉","14#3","37.856658","113.580415","山西 阳泉","29453","6888"
"58","14","4","Chángzhì长治","14#4","36.195386","113.116255","山西 长治","40353","8616"
"59","14","5","Jìnchéng 晋城","14#5","35.49087","112.851768","山西 晋城","31484","7229"
"60","14","6","Shuòzhōu 朔州","14#6","39.331149","112.432714","山西 朔州","14191","4234"
"61","14","7","Jìnzhōng 晋中","14#7","37.687024","112.752695","山西 晋中","38128","7988"
"62","14","8","Yùnchéng 运城","14#8","35.026372","111.007324","山西 运城","47738","9182"
"63","14","9","Xīnzhōu 忻州","14#9","38.416364","112.734269","山西 忻州","21043","5344"
"64","14","10","Línfén 临汾","14#10","36.088067","111.51888","山西 临汾","38912","8043"
"65","14","23","Lǚliáng 吕梁","14#23","37.518314","111.144319","山西 吕梁","20888","5383"
"66","14","1000","Unknown","14#1000","37.873376","112.562569","山西","131832","17129"
"67","15","1","Hūhéhàotè 呼和浩特","15#1","40.84231","111.748847","内蒙古 呼和浩特","130317","18885"
"68","15","2","Bāotóu 包头","15#2","40.657447","109.840386","内蒙古 包头","70917","11994"
"69","15","3","Wūhǎi 乌海","15#3","39.690462","106.822809","内蒙古 乌海","14897","4344"
"70","15","4","Chìfēng 赤峰","15#4","42.257817","118.886856","内蒙古 赤峰","34830","7836"
"71","15","5","Tōngliáo 通辽","15#5","43.61944","122.265737","内蒙古 通辽","28586","6865"
"72","15","6","È'ěrduōsī 鄂尔多斯","15#6","39.608266","109.781327","内蒙古 鄂尔多斯","40216","8392"
"73","15","7","Hūlúnbèi'ěr 呼伦贝尔","15#7","49.211572","119.765739","内蒙古 呼伦贝尔","37813","7723"
"74","15","22","Xīng'ānméng 兴安盟","15#22","46.077561","122.067042","内蒙古 兴安盟","10884","3278"
"75","15","25","Xīlínguōlèméng 锡林郭勒盟","15#25","43.933454","116.048222","内蒙古 锡林郭勒盟","15233","4327"
"76","15","26","Wūlánchábù 乌兰察布盟","15#26","40.8887970","112.5800040","内蒙古 乌兰察布盟","10975","3531"
"77","15","28","Bāyànnào'ěrméng 巴彦淖尔盟","15#28","39.185286","109.322575","内蒙古 巴彦淖尔盟","12512","3750"
"78","15","29","Ālāshànméng 阿拉善盟","15#29","38.851892","105.728969","内蒙古 阿拉善盟","5154","1999"
"79","15","1000","Unknown","15#1000","40.817498","111.765618","内蒙古","378402","14252"
"80","21","1","Shěnyáng 沈阳","21#1","41.80572","123.43147","辽宁 沈阳","709329","50583"
"81","21","2","Dàlián 大连","21#2","38.914003","121.614682","辽宁 大连","653480","47343"
"82","21","3","Ānshān 鞍山","21#3","41.108546","122.994646","辽宁 鞍山","109978","15983"
"83","21","4","Fǔshùn 抚顺","21#4","41.880872","123.957208","辽宁 抚顺","58433","10052"
"84","21","5","Běnxī 本溪","21#5","41.294176","123.766485","辽宁 本溪","30333","6830"
"85","21","6","Dāndōng 丹东","21#6","40.127344","124.384913","辽宁 丹东","54220","10317"
"86","21","7","Jǐnzhōu 锦州","21#7","41.09512","121.127004","辽宁 锦州","65132","10867"
"87","21","8","Yíngkǒu 营口","21#8","40.674258","122.375857","辽宁 营口","54046","10186"
"88","21","9","Fùxīn 阜新","21#9","42.021619","121.670325","辽宁 阜新","28095","6497"
"89","21","10","Liáoyáng 辽阳","21#10","41.269493","123.172838","辽宁 辽阳","76075","9410"
"90","21","11","Pánjǐn 盘锦","21#11","41.119997","122.070714","辽宁 盘锦","41907","8302"
"91","21","12","Tiělǐng 铁岭","21#12","42.22297","123.726163","辽宁 铁岭","32193","7221"
"92","21","13","Cháoyáng 朝阳","21#13","41.573734","120.450372","辽宁 朝阳","24892","6013"
"93","21","14","Húlúdǎo 葫芦岛","21#14","40.711052","120.836932","辽宁 葫芦岛","32670","6736"
"94","21","1000","Unknown","21#1000","41.835441","123.42944","辽宁","300765","26728"
"95","22","1","Chángchūn 长春","22#1","43.817084","125.323542","吉林 长春","400463","35535"
"96","22","2","Jílín 吉林","22#2","43.837883","126.549572","吉林 吉林","83396","12690"
"97","22","3","Sìpíng 四平","22#3","43.16642","124.350398","吉林 四平","39040","8027"
"98","22","4","Liáoyuán 辽源","22#4","42.887918","125.143532","吉林 辽源","19680","5447"
"99","22","5","Tōnghuà 通化","22#5","41.728401","125.939697","吉林 通化","27868","6135"
"100","22","6","Báishān 白山","22#6","41.939994","126.423587","吉林 白山","22419","5960"
"101","22","7","Sōngyuán 松原","22#7","45.141789","124.825118","吉林 松原","24628","6166"
"102","22","8","Báichéng 白城","22#8","45.619641","122.839024","吉林 白城","20721","5476"
"103","22","24","Yánbiān Cháoxiānzúzìzhìzhōu 延边朝鲜族自治州","22#24","42.891254","129.508946","吉林 延边朝鲜族自治州","33937","6884"
"104","22","1000","Unknown","22#1000","43.837883","126.549572","吉林","169858","17457"
"105","23","1","Hā'ěrbīn 哈尔滨","23#1","45.803775","126.534967","黑龙江 哈尔滨","507760","39797"
"106","23","2","Qíqíhā'ěr 齐齐哈尔","23#2","47.354348","123.918186","黑龙江 齐齐哈尔","77851","12633"
"107","23","3","Jīxī 鸡西","23#3","45.295075","130.969333","黑龙江 鸡西","26345","6100"
"108","23","4","Hègǎng 鹤岗","23#4","47.349935","130.298101","黑龙江 鹤岗","19891","5088"
"109","23","5","Shuāngyāshān 双鸭山","23#5","46.646923","131.159553","黑龙江 双鸭山","21235","5127"
"110","23","6","Dàqìng 大庆","23#6","46.59019","125.104637","黑龙江 大庆","89979","13457"
"111","23","7","Yīchūn 伊春","23#7","47.727542","128.840661","黑龙江 伊春","16224","4464"
"112","23","8","Jiāmùsī 佳木斯","23#8","46.799923","130.318917","黑龙江 佳木斯","37802","7319"
"113","23","9","Qītáihé 七台河","23#9","45.771975","131.004915","黑龙江 七台河","11785","3437"
"114","23","10","Mǔdanjiāng 牡丹江","23#10","44.551653","129.633169","黑龙江 牡丹江","53540","9164"
"115","23","11","Hēihé 黑河","23#11","50.245297","127.52846","黑龙江 黑河","17321","4515"
"116","23","12","Suíhuà 绥化","23#12","46.636631","126.980006","黑龙江 绥化","23942","5674"
"117","23","27","Dàxīng'ānlǐng 大兴安岭","23#27","52.335206","124.711081","黑龙江 大兴安岭","10743","3454"
"118","23","1000","Unknown","23#1000","45.74217","126.662507","黑龙江","167997","18185"
"120","31","1","Huángpǔqū 黄浦区","31#1","31.231763","121.484443","上海 黄浦区","367385","37800"
"121","31","3","Lúwānqū 卢湾区","31#3","31.217921","121.470827","上海 卢湾区","198818","25613"
"122","31","4","Xúhuìqū 徐汇区","31#4","31.188523","121.436526","上海 徐汇区","793807","55648"
"123","31","5","Chángníngqū 长宁区","31#5","31.220366","121.424625","上海 长宁区","427527","41689"
"124","31","6","Jìng'ānqū 静安区","31#6","31.227905","121.447535","上海 静安区","276875","32816"
"125","31","7","Pǔtuóqū 普陀区","31#7","31.249554","121.396401","上海 普陀区","445931","39746"
"126","31","8","Zháběiqū 闸北区","31#8","31.247111","121.459382","上海 闸北区","278111","28877"
"127","31","9","Hóngkǒuqū 虹口区","31#9","31.264588","121.50512","上海 虹口区","344712","34429"
"128","31","10","Yángpǔqū 杨浦区","31#10","31.259547","121.526074","上海 杨浦区","451618","40194"
"129","31","12","Mǐnhángqū 闵行区","31#12","31.112842","121.381672","上海 闵行区","432513","38661"
"130","31","13","Bǎoshānqū 宝山区","31#13","31.405457","121.489612","上海 宝山区","297041","29412"
"131","31","14","Jiādìngqū 嘉定区","31#14","31.375602","121.2653","上海 嘉定区","124384","17131"
"132","31","15","Pǔdōngxīnqū 浦东新区","31#15","31.221959","121.544721","上海 浦东新区","1194403","73125"
"133","31","16","Jīnshānqū 金山区","31#16","30.741992","121.341969","上海 金山区","56531","10585"
"134","31","17","Sōngjiāngqū 松江区","31#17","31.032243","121.227747","上海 松江区","157378","21151"
"135","31","18","Qīngpǔqū 青浦区","31#18","31.150681","121.124178","上海 青浦区","67735","11652"
"136","31","19","Nánhuìqū 南汇区","31#19","31.039668","121.760192","上海 南汇区","57099","10297"
"137","31","20","Fèngxiánqū 奉贤区","31#20","30.918014","121.474039","上海 奉贤区","60463","10867"
"138","31","30","Chóngmíngxiàn 崇明县","31#30","31.623587","121.397417","上海 崇明县","25349","6497"
"139","31","1000","Unknown","31#1000","31.230393","121.473704","上海","2518455","121322"
"140","32","1","Nánjīng 南京","32#1","32.060255","118.796877","江苏 南京","1479947","80877"
"141","32","2","Wúxī 无锡","32#2","31.566145","120.303027","江苏 无锡","524648","42945"
"142","32","3","Xúzhōu 徐州","32#3","34.20475","117.284067","江苏 徐州","174251","21912"
"143","32","4","Chángzhōu 常州","32#4","31.810077","119.974454","江苏 常州","233144","25558"
"144","32","5","Sūzhōu 苏州","32#5","31.298886","120.585316","江苏 苏州","913766","59907"
"145","32","6","Nántōng 南通","32#6","31.979997","120.894324","江苏 南通","196158","22783"
"146","32","7","Liányúngǎng 连云港","32#7","34.596544","119.221282","江苏 连云港","77379","13379"
"147","32","8","Huái'ān 淮安","32#8","33.61036","119.015288","江苏 淮安","59520","10973"
"148","32","9","Yánchéng 盐城","32#9","33.347378","120.163561","江苏 盐城","86392","14074"
"149","32","10","Yángzhōu 扬州","32#10","32.39421","119.412966","江苏 扬州","166140","21298"
"150","32","11","Zhènjiāng 镇江","32#11","32.199147","119.45722","江苏 镇江","96175","14734"
"151","32","12","Tàizhōu 泰州","32#12","32.455778","119.923116","江苏 泰州","70542","11993"
"152","32","13","Sùqiān 宿迁","32#13","33.961994","118.275497","江苏 宿迁","42668","9182"
"153","32","1000","Unknown","32#1000","32.061707","118.763232","江苏","697218","44285"
"154","33","1","Hángzhōu 杭州","33#1","30.274089","120.155069","浙江 杭州","2012710","97544"
"155","33","2","Níngbō 宁波","33#2","29.868336","121.54399","浙江 宁波","796235","53517"
"156","33","3","Wēnzhōu 温州","33#3","27.994267","120.699367","浙江 温州","882569","54279"
"157","33","4","Jiāxīng 嘉兴","33#4","30.753924","120.758543","浙江 嘉兴","297489","29755"
"158","33","5","Húzhōu 湖州","33#5","30.894348","120.086823","浙江 湖州","125715","17376"
"159","33","6","Shàoxīng 绍兴","33#6","29.995762","120.586109","浙江 绍兴","199906","22857"
"160","33","7","Jīnhuá 金华","33#7","29.079059","119.647445","浙江 金华","228667","24830"
"161","33","8","Qúzhōu 衢州","33#8","28.93581","118.874375","浙江 衢州","54421","10249"
"162","33","9","Zhōushān 舟山","33#9","29.985451","122.206604","浙江 舟山","77021","12311"
"163","33","10","Táizhōu 台州","33#10","28.656386","121.420757","浙江 台州","264576","26999"
"164","33","11","Líshuǐ 丽水","33#11","28.46763","119.922796","浙江 丽水","72887","12022"
"165","33","1000","Unknown","33#1000","30.266245","120.153639","浙江","1021875","48623"
"166","34","1","Héféi 合肥","34#1","31.821448","117.227271","安徽 合肥","438105","38160"
"167","34","2","Wúhú 芜湖","34#2","31.352859","118.432941","安徽 芜湖","93623","14759"
"168","34","3","Bèngbù 蚌埠","34#3","32.916287","117.389719","安徽 蚌埠","50145","9523"
"169","34","4","Huáinán 淮南","34#4","32.625478","116.999933","安徽 淮南","47096","9101"
"170","34","5","Mǎ'ānshān 马鞍山","34#5","31.670452","118.50676","安徽 马鞍山","48659","9145"
"171","34","6","Huáiběi 淮北","34#6","33.955845","116.798265","安徽 淮北","26007","6094"
"172","34","7","Tónglíng 铜陵","34#7","30.94453","117.810841","安徽 铜陵","27051","6394"
"173","34","8","Ānqìng 安庆","34#8","30.524895","117.056857","安徽 安庆","58998","10267"
"174","34","10","Huángshān 黄山","34#10","29.714683","118.337476","安徽 黄山","35286","7869"
"175","34","11","Chúzhōu 滁州","34#11","32.301556","118.317107","安徽 滁州","35590","7504"
"176","34","12","Fùyáng 阜阳","34#12","32.890124","115.814205","安徽 阜阳","49065","9568"
"177","34","13","Sùzhōu 宿州","34#13","33.639394","116.985301","安徽 宿州","25311","5853"
"178","34","14","Cháohú 巢湖","34#14","31.597853","117.864722","安徽 巢湖","19033","5033"
"179","34","15","Lù'ān 六安","34#15","31.745011","116.505693","安徽 六安","27420","6421"
"180","34","16","Bózhōu 亳州","34#16","33.844582","115.778676","安徽 亳州","21955","5633"
"181","34","17","Chízhōu 池州","34#17","30.674219","117.495707","安徽 池州","15979","4361"
"182","34","18","Xuānchéng 宣城","34#18","30.940718","118.758816","安徽 宣城","27071","6100"
"183","34","1000","Unknown","34#1000","31.861184","117.284923","安徽","238710","23473"
"184","35","1","Fúzhōu 福州","35#1","26.074508","119.296494","福建 福州","1050444","64134"
"185","35","2","Xiàmén 厦门","35#2","24.479836","118.08942","福建 厦门","997304","65134"
"186","35","3","Pútián 莆田","35#3","25.454085","119.007777","福建 莆田","83325","13305"
"187","35","4","Sānmíng 三明","35#4","26.263432","117.638709","福建 三明","92007","13272"
"188","35","5","Quánzhōu 泉州","35#5","24.907574","118.586812","福建 泉州","601194","44447"
"189","35","6","Zhāngzhōu 漳州","35#6","24.513321","117.647363","福建 漳州","132952","17042"
"190","35","7","Nánpíng 南平","35#7","26.641769","118.177708","福建 南平","82768","12381"
"191","35","8","Lóngyán 龙岩","35#8","25.100632","117.03403","福建 龙岩","73153","11709"
"192","35","9","Níngdé 宁德","35#9","26.666291","119.526287","福建 宁德","102532","14360"
"193","35","1000","Unknown","35#1000","26.099933","119.296506","福建","328663","30844"
"194","36","1","Nánchāng 南昌","36#1","28.68316","115.858089","江西 南昌","401461","34875"
"195","36","2","Jǐngdézhèn 景德镇","36#2","29.268836","117.17842","江西 景德镇","37251","7649"
"196","36","3","Píngxiāng 萍乡","36#3","27.622865","113.854676","江西 萍乡","27676","6379"
"197","36","4","Jiǔjiāng 九江","36#4","29.705103","116.001951","江西 九江","90835","13535"
"198","36","5","Xīnyú 新余","36#5","27.817819","114.91741","江西 新余","24688","6155"
"199","36","6","Yīngtán 鹰潭","36#6","28.260189","117.069202","江西 鹰潭","17242","4773"
"200","36","7","Gànzhōu 赣州","36#7","25.829209","114.933553","江西 赣州","100854","14553"
"201","36","8","Jí'ān 吉安","36#8","27.113039","114.992913","江西 吉安","28958","6848"
"202","36","9","Yíchūn 宜春","36#9","27.796561","114.395108","江西 宜春","38001","7978"
"203","36","10","Fǔzhōu 抚州","36#10","27.9492","116.358176","江西 抚州","29577","6433"
"204","36","11","Shàngráo 上饶","36#11","28.454863","117.943433","江西 上饶","47151","8657"
"205","36","1000","Unknown","36#1000","28.674424","115.909175","江西","183404","20453"
"207","37","1","Jǐnán 济南","37#1","36.665282","116.994917","山东 济南","548893","44715"
"208","37","2","Qīngdǎo 青岛","37#2","36.06722","120.382504","山东 青岛","619679","47010"
